"Position","Pattern","TP","SL","TrailAct","TrailRev","BeAct","BeMoveTo","TotalTrades","WinRate","NetProfit","AvgPnL","ProfitFactor","SharpeRatio","MaxDrawdown"
"Long","trailing",NA,NA,1000,450,NA,NA,141,0.595744680851064,37240,264.113475177305,1.74450219912035,0.215931106307309,7080
"Long","trailing",NA,NA,800,450,NA,NA,141,0.624113475177305,36650,259.929078014184,1.7527212980078,0.214882899166579,7520
"Long","trailing",NA,NA,900,500,NA,NA,141,0.617021276595745,36150,256.382978723404,1.73371219809215,0.211190040224856,7230
"Long","trailing",NA,NA,1000,500,NA,NA,141,0.595744680851064,36170,256.524822695035,1.72311075569772,0.210124014028005,7230
"Long","trailing",NA,NA,800,500,NA,NA,141,0.624113475177305,35740,253.475177304965,1.73403162867118,0.209658087936773,7230
"Long","trailing",NA,NA,100,50,NA,NA,141,0.907801418439716,16570,117.517730496454,2.14118457300275,0.207110580566472,3640
"Long","trailing",NA,NA,500,200,NA,NA,141,0.680851063829787,29820,211.489361702128,1.72537095597178,0.20680779125235,10340
"Long","trailing",NA,NA,600,200,NA,NA,141,0.645390070921986,33740,239.290780141844,1.70379641218189,0.205263187245053,9750
"Long","trailing",NA,NA,700,450,NA,NA,141,0.631205673758865,34140,242.127659574468,1.70580938598305,0.201373017484788,7910
"Long","fixed",900,600,NA,NA,NA,NA,141,0.50354609929078,20570,145.886524822695,1.51931330472103,0.201296507912183,6950
"Long","trailing",NA,NA,500,250,NA,NA,141,0.680851063829787,29060,206.099290780142,1.70688396983702,0.201015733922529,10590
"Long","fixed",800,700,NA,NA,NA,NA,141,0.553191489361702,19960,141.560283687943,1.50518855985826,0.198852711396631,7770
"Long","fixed",900,300,NA,NA,NA,NA,141,0.354609929078014,15670,111.13475177305,1.57652685798381,0.197863571369592,3600
"Long","fixed",900,800,NA,NA,NA,NA,141,0.560283687943262,21930,155.531914893617,1.50787401574803,0.19700904815351,8180
"Long","fixed",900,500,NA,NA,NA,NA,141,0.460992907801418,18780,133.191489361702,1.51032608695652,0.19570504985337,6390
"Long","fixed",900,100,NA,NA,NA,NA,141,0.184397163120567,10200,72.3404255319149,1.88695652173913,0.194555077402427,3000
"Long","trailing",NA,NA,500,300,NA,NA,141,0.680851063829787,28710,203.617021276596,1.69837022622233,0.19367741014576,10840
"Long","trailing",NA,NA,700,500,NA,NA,141,0.631205673758865,32660,231.631205673759,1.67521190820757,0.193460953215366,7490
"Long","fixed",1000,700,NA,NA,NA,NA,141,0.50354609929078,21850,154.964539007092,1.50172215843858,0.193430915463096,6570
"Long","trailing",NA,NA,600,250,NA,NA,141,0.645390070921986,31200,221.276595744681,1.65081351689612,0.191504953559454,9890
"Long","trailing",NA,NA,600,300,NA,NA,141,0.645390070921986,31650,224.468085106383,1.66020025031289,0.190619674165359,9950
"Long","trailing",NA,NA,400,150,NA,NA,141,0.709219858156028,26410,187.304964539007,1.69609910384818,0.190020923053082,10450
"Long","trailing",NA,NA,200,50,NA,NA,141,0.808510638297872,22400,158.86524822695,1.78130449947681,0.188801216395084,9450
"Long","fixed",700,200,NA,NA,NA,NA,141,0.312056737588652,10690,75.8156028368794,1.55103092783505,0.183457795984252,2100
"Long","trailing",NA,NA,500,350,NA,NA,141,0.680851063829787,26910,190.851063829787,1.65458525906106,0.182428070697222,11090
"Long","trailing",NA,NA,300,50,NA,NA,141,0.730496453900709,24260,172.056737588652,1.65834464043419,0.180402632691405,9970
"Long","trailing",NA,NA,600,350,NA,NA,141,0.645390070921986,29550,209.574468085106,1.61639549436796,0.179275283228297,10050
"Long","fixed",1000,300,NA,NA,NA,NA,141,0.326241134751773,14970,106.170212765957,1.52748414376321,0.179042650692145,3600
"Long","fixed",800,600,NA,NA,NA,NA,141,0.517730496453901,17060,120.992907801418,1.44415516792502,0.178552053145433,7750
"Long","fixed",900,400,NA,NA,NA,NA,141,0.404255319148936,15380,109.078014184397,1.46606060606061,0.175424533416718,4000
"Long","trailing",NA,NA,500,400,NA,NA,141,0.680851063829787,25830,183.191489361702,1.62831427876429,0.174389091898186,11280
"Long","fixed",1000,800,NA,NA,NA,NA,141,0.524822695035461,20300,143.971631205674,1.44585987261146,0.174070931784866,7720
"Long","fixed",1000,600,NA,NA,NA,NA,141,0.468085106382979,18450,130.851063829787,1.43980929678188,0.172078741706398,6350
"Long","fixed",800,800,NA,NA,NA,NA,141,0.567375886524823,18070,128.156028368794,1.42638036809816,0.171697421344059,8780
"Long","fixed",800,100,NA,NA,NA,NA,141,0.184397163120567,8090,57.3758865248227,1.70347826086957,0.169587039466319,3000
"Long","fixed",800,300,NA,NA,NA,NA,141,0.361702127659574,12360,87.6595744680851,1.45982142857143,0.168565579389756,3900
"Long","trailing",NA,NA,400,200,NA,NA,141,0.709219858156028,22980,162.978723404255,1.60569319978914,0.167105032840644,10750
"Long","trailing",NA,NA,600,400,NA,NA,141,0.645390070921986,26940,191.063829787234,1.56195244055069,0.165233018025325,10150
"Long","fixed",900,900,NA,NA,NA,NA,141,0.567375886524823,19270,136.666666666667,1.41228070175439,0.165074443078592,9320
"Long","trailing",NA,NA,400,250,NA,NA,141,0.709219858156028,22480,159.432624113475,1.59251449657354,0.162476855929877,11020
"Long","trailing",NA,NA,400,300,NA,NA,141,0.709219858156028,23020,163.262411347518,1.60674749604639,0.161024706829326,11270
"Long","fixed",1000,400,NA,NA,NA,NA,141,0.375886524822695,14880,105.531914893617,1.43005780346821,0.1604486079108,4000
"Long","fixed",800,500,NA,NA,NA,NA,141,0.468085106382979,14270,101.205673758865,1.3931129476584,0.159454456204722,7090
